1,"Project Abstract","(a) some documentation of some user problem and (b) some proof of technology competency by your tools with your team",1453664370,1454302800,1454364767,group-k/user1,1539515
2,Prototype,"all your ideas coded up",1453664401,1456808400,1458011116,group-k/user1,1539516
3,Delivery,"the results of assessing how well your tools work. This sill be in two parts:

    A talk to the class (15 mins, sometime in April);
    A report (due Apr1)",1453664442,1460001600,,group-k/user1,1539517
4,Feedback,"You will write a decision support tool that generates ""reports of interest"" about patterns in the Github issues seen for the work Jan to April.
You will submit a report on that work.",1453664490,1462075200,,group-k/user1,1539518
