1,1,,1454301893,,1455839885,group-e/user1,1554654
2,"Mozilla plugin study","Learn and the understand the mozilla Add-on SDK",1455839987,1454648400,1455840033,group-e/user2,1591971
3,"Develop three chrome plugins","Building three chrome extensions justifying image access in a webpage.
",1455848393,1456808400,1458687442,group-e/user1,1592124
4,"Make plugin available for download","Figuring out how to implement the plugin installation funcitonality",1458687294,1460001600,,group-e/user2,1660970
5,"Functionality to collect and store logs on Server","Its better if we can collect logs from the users in an automated manner. With this functionality, users can run the plugin on their own browsers in their PCs and we can collect more number of logs.",1458687321,1459051200,1459988120,group-e/user3,1660971
6,"Modify solutions according to users specification","Modification in three solutions based on data collected from users.",1459480220,1460001600,1459988111,group-e/user1,1677362
7,"Prepare a report for submission","",1459911266,1460001600,1459988116,group-e/user2,1686311
