1,"Feb 1 ","Problem Identification",1454710059,1454302800,1454710546,group-l-2/user1,1567295
2,"March 1","Identify and implementing three solutions. ",1454710133,1456808400,1456892729,group-l-2/user1,1567296
3,"March Report","The implemented solutions need to be documented.",1454710222,1456808400,1456971242,group-l-2/user1,1567299
4,"Testing the implemented solutions","The 3 implemented solutions need to be tested",1454710309,1459483200,1460083495,group-l-2/user1,1567302
5,"Setup environment to implement the solutions ","whichever member is doing whatever solutions, must setup that environment for it.",1454710417,1454994000,1455727466,group-l-2/user1,1567306
6,"Identify 3 solutions","1. Image recognition using OCR
2. Voice input
3. Auto recognition of expenses from Text messages.",1454710493,1454821200,1456882579,group-l-2/user1,1567308
