2,,
3,,
4,,
5,,
6,,
7,,
8,,
10,2549102,2505600
11,1077926,2505600
12,1077935,2505600
13,1077949,2505600
14,1078068,2505600
16,1782019,2505600
28,1869835,2505600
29,1995152,2505600
44,2496787,2505600
50,2238216,2505600
51,2243709,2505600
54,2304126,2505600
56,2331546,2505600
60,2331946,2505600
61,2417785,2505600
62,2551337,2505600
63,2476345,2505600
64,2482233,2505600
65,2483686,2505600
23,1969082,2674800
47,1607395,2674800
49,1774344,2674800
66,1607352,2674800
68,1345187,2674800
74,1968377,2674800
75,2422946,2674800
76,1802920,2674800
77,2423036,2674800
78,2043390,2674800
79,2043094,2674800
80,2422928,2674800
81,2422957,2674800
82,2422991,2674800
83,2031899,2674800
84,2059452,2674800
85,2062970,2674800
89,-280134,2592000
