7,833994,2505600
8,833998,2505600
9,2044128,2505600
11,2389982,2505600
20,2389972,2505600
30,2549511,2505600
31,2041715,2505600
36,2389955,2505600
38,2325962,2505600
39,2387447,2505600
44,2549344,2505600
45,2554947,2505600
46,2549550,2505600
47,2587902,2505600
48,2643502,2505600
63,2648000,3193200
67,2992164,3193200
71,2903574,3193200
73,2552831,3193200
77,3168154,3193200
78,3236626,3193200
80,572736,2073600
81,1696992,2073600
12,-6938747,-6994800
13,-6938750,-6994800
14,-6938355,-6994800
15,-7450067,-6994800
19,655062,604800
22,655077,604800
23,658096,604800
25,658119,604800
18,657229,604800
21,657038,604800
24,656233,604800
28,661688,604800
26,748965,691200
43,654388,691200
49,656260,691200
51,659736,691200
52,570697,3020400
61,1806847,3020400
74,2889917,3020400
75,2995366,3020400
76,2995373,3020400
79,3063801,3020400
