4,,
5,,
8,179294,777600
9,-598371,-777600
10,,
11,,
12,,
15,,
17,,
27,,
20,-58033,86400
21,-13419,86400
23,-54655,86400
25,-53351,86400
7,733901,259200
32,564178,259200
34,564022,259200
33,132135,-172800
42,,
43,,
44,,
49,,
