10,758529,2505600
11,2407726,2505600
12,2407666,2505600
13,2108846,2505600
24,2123133,2505600
25,5436562,2505600
26,2123203,2505600
27,2122979,2505600
28,2123023,2505600
34,2714943,2505600
35,2409498,2505600
38,2108736,2505600
39,2108806,2505600
41,2117729,2505600
51,2729698,2505600
52,2714923,2505600
53,2729728,2505600
14,-382441,2674800
22,2931050,2674800
23,-554758,2674800
31,-555137,2674800
33,-554784,2674800
36,-553917,2674800
40,-387972,2674800
55,2931026,2674800
56,1713179,2674800
57,2931020,2674800
58,2931014,2674800
60,2931059,2674800
61,2931007,2674800
64,2973727,2674800
65,2973891,2674800
66,2973961,2674800
67,2974038,2674800
71,3089416,2674800
72,3089583,2674800
73,3089577,2674800
74,3089617,2674800
75,3089809,2674800
76,3089939,2674800
77,3089988,2674800
78,3090294,2674800
29,-3230048,2592000
30,-3230016,2592000
32,-3229967,2592000
46,-2896374,2592000
54,-2544568,2592000
59,1201947,2592000
62,502798,2592000
63,502845,2592000
68,299351,2592000
70,484326,2592000
79,652285,2592000
80,518800,2592000
81,518815,2592000
82,1201931,2592000
15,,
16,,
17,,
18,,
19,,
20,,
21,,
37,,
42,,
43,,
44,,
45,,
47,,
48,,
49,,
50,,
