11,-524123,0
13,-1520910,0
14,-524177,0
15,-524377,0
6,1018988,1555200
7,263201,1555200
8,263280,1555200
9,-4383,1555200
10,56634,1555200
12,263234,1555200
17,1445294,1555200
18,1445262,1555200
19,997818,1555200
30,1036240,1555200
31,997714,1555200
32,997773,1555200
36,1445358,1555200
37,1445338,1555200
38,1445222,1555200
39,1445183,1555200
40,1522310,1555200
46,1085535,1555200
47,1716040,1555200
48,1667625,1555200
49,1667616,1555200
26,-1059077,-691200
27,-367857,0
56,78515,172800
57,86568,172800
58,137412,172800
59,93553,172800
60,107976,172800
61,114375,172800
62,143121,172800
64,149996,172800
65,174692,172800
28,-1059012,-691200
66,693696,691200
67,693714,691200
68,693734,691200
69,693757,691200
70,693784,691200
71,693804,691200
72,693820,691200
33,,
41,,
54,,
42,,
43,,
44,,
73,,
45,,
55,,
74,,
75,,
76,,
80,,
77,,
78,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
90,568676,0
91,584782,0
93,564389,0
94,586274,0
96,587848,0
