1,1666929
2,1666937
3,1209296
4,191929
5,219643
6,26848
7,515799
8,515586
9,1725481
10,0
11,2071226
12,511591
13,511532
14,511820
15,44
16,99087
17,0
18,1205870
19,598706
20,1555945
21,1205307
22,430369
23,138846
24,606031
25,2563
26,1300009
27,859229
28,180835
29,957
30,509994
31,156
32,0
33,0
34,0
35,681177
36,346487
37,0
38,281645
39,60098
40,0
41,0
42,0
43,175390
44,1685
45,5392
46,7
47,38309
48,83296
49,55442
50,0
51,266
52,98298
53,0
54,0
55,1635944
56,1236399
57,1236368
58,9
59,0
60,605337
61,114601
62,6281
63,268640
64,599636
65,426040
66,599555
67,1038811
68,0
69,24184
70,0
71,524626
72,0
73,147093
74,506357
75,520180
76,264799
77,190721
78,244349
79,172940
80,529164
