1,1206059
2,73
3,0
4,676369
5,884673
6,259634
7,261862
8,883783
9,5607
9,699142
10,5096
10,698783
10,784735
11,260354
12,260179
13,260109
14,883904
15,880591
16,3767
17,621530
18,181397
19,179948
20,181332
21,7252
22,3065
23,0
24,5917
25,81498
26,254218
27,0
28,0
29,92893
30,92808
31,0
32,183777
33,325842
34,0
35,0
36,0
37,1
38,57195
39,0
40,74638
41,85724
42,61959
43,88292
44,64877
45,163267
46,163334
47,151416
48,163152
49,309488
50,162889
51,0
52,4187
53,0
54,0
55,0
56,0
57,0
58,712
59,10062
60,15136
61,0
62,0
63,0
64,0
65,7
66,17
67,0
68,71353
69,70614
71,0
72,0
73,76317
74,0
75,0
76,0
77,4238
78,0
79,0
80,0
81,0
82,167339
83,0
84,0
85,0
86,160619
87,1658
88,0
89,0
90,0
91,573
92,2268
93,3346
94,91397
95,85793
96,85685
97,85606
