1,260823
2,1036909
3,1036758
4,1036654
5,575435
6,574860
7,574018
8,573974
9,63
10,360830
11,1649137
12,1649014
13,687160
14,332149
15,40
16,313107
17,154323
18,312983
19,19
20,68382
21,229218
22,2801836
23,0
24,228999
25,3542379
26,228958
27,228045
28,228044
29,0
30,0
31,0
32,0
33,0
34,763417
35,457914
36,0
37,5
38,11
39,28
40,0
41,6
42,4
43,161387
44,5
45,3
46,0
47,77923
48,1809418
49,3027218
50,2951209
51,240532
51,243461
52,228511
53,243254
54,0
55,2700942
56,1406545
57,2624345
58,2624316
59,1295974
60,350197
61,155
62,246698
63,246540
64,0
65,0
66,0
67,0
68,0
70,69745
71,4
72,103
73,3
74,7
75,3
76,3
77,2
78,2
79,233396
80,99846
81,99795
82,13368
