1,
2,45068
3,-109750
4,-109761
5,-117679
6,-109738
7,-11677
8,-272862
10,43502
11,-1427674
12,-1427665
13,-1427651
14,-1427532
16,-723581
23,-705718
28,-635765
29,-510448
44,-8813
47,-1067405
49,-900456
50,-267384
51,-261891
54,-201474
56,-174054
60,-173654
61,-87815
62,45737
63,-29255
64,-23367
65,-21914
66,-1067448
68,-1329613
74,-706423
75,-251854
76,-871880
77,-251764
78,-631410
79,-631706
80,-251872
81,-251843
82,-251809
83,-642901
84,-615348
85,-611830
89,-2872134
