1,-1229452
2,-453262
3,-453249
4,-453242
5,122995
6,122989
7,122979
8,122973
9,123000
10,-1747071
11,-97874
12,-97934
13,-396754
14,-3057241
15,
16,
17,
18,
19,
20,
21,
22,256250
23,-3229558
24,-382467
25,2930962
26,-382397
27,-382621
28,-382577
29,-5822048
30,-5822016
31,-3229937
32,-5821967
33,-3229584
34,209343
35,-96102
36,-3228717
37,
38,-396864
39,-396794
40,-3062772
41,-387871
42,
43,
44,
45,
46,-5488374
47,
48,
49,
50,
51,224098
52,209323
53,224128
54,-5136568
55,256226
56,-961621
57,256220
58,256214
59,-1390053
60,256259
61,256207
62,-2089202
63,-2089155
64,298927
65,299091
66,299161
67,299238
68,-2292649
70,-2107674
71,414616
72,414783
73,414777
74,414817
75,415009
76,415139
77,415188
78,415494
79,-1939715
80,-2073200
81,-2073185
82,-1390069
