5,-1566087
6,-536212
7,-1291999
8,-1291920
9,-1559583
10,-1498566
11,-524123
12,-1291966
13,-1520910
14,-524177
15,-524377
17,-109906
18,-109938
19,-557382
20,-96986
21,-96961
22,-96943
23,2670
24,2688
25,2703
26,-367877
27,-367857
28,-367812
30,-518960
31,-557486
32,-557427
33,
36,-109842
37,-109862
38,-109978
39,-110017
40,-32890
41,
42,
43,
44,
45,
46,-469665
47,160840
48,112425
49,112416
54,
55,
56,-94285
57,-86232
58,-35388
59,-79247
60,-64824
61,-58425
62,-29679
64,-22804
65,1892
66,2496
67,2514
68,2534
69,2557
70,2584
71,2604
72,2620
73,
74,
75,
76,
77,
78,
80,
81,
82,
83,
84,
85,587877
86,564374
87,568938
88,587747
90,568676
91,584782
93,564389
94,586274
96,587848
